name,product_line,architecture,memory,memory_type,cuda_cores,tensor_cores,rt_cores,boost_clock,tdp,memory_bandwidth,price_usd,description
GeForce RTX 5090,Consumer Desktop,Blackwell,32GB,GDDR7,21760,680,340,2.41 GHz,575W,1.8 TB/s,1999,"The flagship consumer GPU featuring 21,760 CUDA cores and 32GB of GDDR7 memory. Based on Blackwell architecture with 5th gen Tensor cores and 4th gen RT cores. Delivers over 2X performance increase over RTX 4090 in AI-accelerated scenarios. Features DLSS 4 with Multi-Frame Generation for up to 8X frame rate multiplication. Equipped with advanced vapor chamber cooling for efficient thermal management in a compact dual-slot form factor."
GeForce RTX 5080,Consumer Desktop,Blackwell,16GB,GDDR7,10752,336,168,2.62 GHz,360W,1.15 TB/s,999,"High-end consumer GPU with 10,752 CUDA cores and 16GB GDDR7 memory. Positioned for 4K gaming and professional content creation. 256-bit memory interface providing solid bandwidth. Includes full support for DLSS 4 with Multi-Frame Generation and advanced ray tracing via 4th gen RT cores. Approximately 10% more CUDA cores than RTX 4080 with improved power efficiency per core."
GeForce RTX 5070 Ti,Consumer Desktop,Blackwell,16GB,GDDR7,8960,280,140,2.45 GHz,300W,912 GB/s,749,"Mid-to-high range GPU combining 8,960 CUDA cores with 16GB of GDDR7 memory. 256-bit memory bus providing excellent bandwidth for gaming at 1440p and 4K with DLSS. Features 280 Tensor cores for AI acceleration and 140 RT cores for advanced ray tracing. Positioned between RTX 5070 and RTX 5080, offering balanced performance for demanding workloads."
GeForce RTX 5070,Consumer Desktop,Blackwell,12GB,GDDR7,6144,192,96,2.51 GHz,250W,648 GB/s,549,"Mid-range GPU with 6,144 CUDA cores and 12GB GDDR7 memory over 192-bit interface. NVIDIA claims RTX 4090 equivalent performance at $549 MSRP through DLSS 4 Multi-Frame Generation. Features full Blackwell architecture benefits including 5th gen Tensor cores and 4th gen RT cores. Primary target for 1440p high-refresh gaming and content creation at competitive pricing."
GeForce RTX 5060 Ti,Consumer Desktop,Blackwell,16GB/8GB,GDDR7,4608,144,72,2.3 GHz,180W,432 GB/s,379,"Upper-entry GPU offering 4,608 CUDA cores with optional 16GB or 8GB GDDR7 memory configurations. 128-bit memory interface limiting bandwidth but sufficient for 1080p-1440p gaming. Single-slot design with reasonable power draw. Suitable for gamers seeking next-gen features (DLSS 4, ray tracing) at entry-to-mid price points. Represents significant upgrade over previous generation equivalents."
GeForce RTX 5060,Consumer Desktop,Blackwell,8GB,GDDR7,3840,120,60,2.3 GHz,90W,320 GB/s,299,"Entry-level consumer GPU with 3,840 CUDA cores and 8GB GDDR7 memory. 128-bit interface on compact single-slot card with minimal 90W power draw. Enables 1080p gaming at high frame rates and light 1440p gaming. Features DLSS 4 support and 4th gen RT cores for entry-level ray tracing. Ideal budget option for gamers upgrading from older GPUs or building affordable gaming systems."
GeForce RTX 5050,Consumer Desktop,Blackwell,8GB,GDDR6,2560,80,40,2.35 GHz,55W,320 GB/s,199,"Most affordable Blackwell GPU with 2,560 CUDA cores and 8GB GDDR6 memory. Extremely low 55W power draw allows passive or minimal active cooling. 128-bit memory interface. Optimized for 1080p gaming at smooth frame rates. Includes neural shaders and DLSS 4 support despite entry-level positioning. Perfect for budget-conscious gamers, HTPC builds, and system upgrades without PSU replacement."
GeForce RTX 5090 Laptop,Consumer Laptop,Blackwell,24GB,GDDR7,10496,328,164,2.16 GHz,150W,671 GB/s,2500,"Mobile flagship with 10,496 CUDA cores and 24GB GDDR7 memory in 256-bit interface. Powers ultrathin gaming laptops with desktop-like performance and DLSS 4 with Multi-Frame Generation. Features advanced thermal optimization for mobile environments. 95-150W configurable power draw depending on thermal design of host laptop. Claimed to deliver RTX 4090 desktop performance at roughly half the power consumption."
GeForce RTX 5080 Laptop,Consumer Laptop,Blackwell,16GB,GDDR7,7680,240,120,2.06 GHz,140W,492 GB/s,1800,"High-performance mobile GPU with 7,680 CUDA cores and 16GB GDDR7 memory over 256-bit interface. Designed for premium gaming laptops targeting 1440p-4K gaming with DLSS upscaling. Power-efficient 140W TDP enables all-day battery life in gaming scenarios. Includes full Blackwell feature set with neural rendering and frame generation capabilities for exceptional visual quality."
GeForce RTX 5070 Ti Laptop,Consumer Laptop,Blackwell,12GB,GDDR7,5888,184,92,2.09 GHz,130W,355 GB/s,1400,"Upper-mid-range mobile GPU with 5,888 CUDA cores and 12GB GDDR7 memory. 192-bit interface balances performance and power efficiency with 130W TDP. Targets enthusiast gaming laptops for high refresh rate 1440p gameplay. Features advanced AI acceleration through Tensor cores and DLSS 4 super-resolution for improved frame rates without quality loss. Excellent thermal efficiency in compact mobile form factor."
